商品名稱,新商品名稱,大分類,小分類,
鳳凰美田 蜜桃酒,鳳凰美田 蜜桃酒-,6酒水,東洋酒,
墨廼江 特別純米,墨廼江 特別純米-,6酒水,東洋酒,
彩來 純米吟釀,彩來 純米吟釀-,6酒水,東洋酒,
安藝虎 山田錦,安藝虎 山田錦-,6酒水,東洋酒,
三諸杉 純米大吟釀,三諸杉 純米大吟釀-,6酒水,東洋酒,
惣譽 特別純米,惣譽 特別純米-,6酒水,東洋酒,
黑千壽,黑千壽-,6酒水,東洋酒,
2024冬餐酒貴腐酒2隻特價,2024冬餐酒貴腐酒2隻特價-,6酒水,東洋酒,
水芭蕉 蛇年限定 純米大吟釀,水芭蕉 蛇年限定 純米大吟釀-,6酒水,東洋酒,
福海 雄町 生酒,福海 雄町 生酒-,6酒水,東洋酒,
光榮菊,光榮菊-,6酒水,東洋酒,
彩來 花澄,彩來 花澄-,6酒水,東洋酒,
三諸杉,三諸杉-,6酒水,東洋酒,
田中六五,田中六五-,6酒水,東洋酒,
田中六五 系島 山田錦純米酒,田中六五 系島 山田錦純米酒-,6酒水,東洋酒,
彩來 特別純米 花澄無濾過原霞酒,彩來 特別純米 花澄無濾過原霞酒-,6酒水,東洋酒,
三諸杉 Dio Abita,三諸杉 Dio Abita-,6酒水,東洋酒,
Asahi生啤酒機,Asahi生啤酒機-,6酒水,啤酒,
18天生啤酒,18天生啤酒-,6酒水,啤酒,
水蜜桃汽水,水蜜桃汽水-,6酒水,非酒精飲料,
可爾必思汽水,可爾必思汽水-,6酒水,非酒精飲料,
高山冷泡茶,高山冷泡茶-,6酒水,非酒精飲料,
哈密瓜汽水,哈密瓜汽水-,6酒水,非酒精飲料,
可樂,可樂-,6酒水,非酒精飲料,
玫瑰蜜冷泡茶/800ml,玫瑰蜜冷泡茶/800ml-,6酒水,非酒精飲料,
可爾必思汽水（無糖）,可爾必思汽水（無糖）-,6酒水,非酒精飲料,
無糖優格氣泡飲,無糖優格氣泡飲-,6酒水,非酒精飲料,
柑橘可樂汽水,柑橘可樂汽水-,6酒水,非酒精飲料,
果汁,果汁-,6酒水,非酒精飲料,
生啤買一送一,生啤買一送一-,6酒水,啤酒,
比利時啤酒,比利時啤酒-,6酒水,啤酒,
Asahi生啤酒,Asahi生啤酒-,6酒水,啤酒,
慕赫 12年蘇格蘭單一純麥芽威士忌,慕赫 12年蘇格蘭單一純麥芽威士忌-,6酒水,西洋酒,
靜岡 白草莓奶酒,靜岡 白草莓奶酒-,6酒水,西洋酒,
摩爾 黑珍珠紅酒,摩爾 黑珍珠紅酒-,6酒水,西洋酒,
百富12年單一麥芽威士忌,百富12年單一麥芽威士忌-,6酒水,西洋酒,
沖繩 新裡 威士忌,沖繩 新裡 威士忌-,6酒水,西洋酒,
蘇格登12年歐洲版威士忌,蘇格登12年歐洲版威士忌-,6酒水,西洋酒,
義大利 天地酒莊 王牌風乾 紅酒,義大利 天地酒莊 王牌風乾 紅酒-,6酒水,西洋酒,
神息 吉野杉桶 威士忌,神息 吉野杉桶 威士忌-,6酒水,西洋酒,
神戶藍 雪莉桶 調和威士忌,神戶藍 雪莉桶 調和威士忌-,6酒水,西洋酒,
法國香檳,法國香檳-,6酒水,西洋酒,
梅酒/70ml,梅酒/70ml-,6酒水,西洋酒,
布爾松城堡 白酒,布爾松城堡 白酒-,6酒水,西洋酒,
Highball,Highball-,6酒水,西洋酒,
威士忌 shot/40ml,威士忌 shot/40ml-,6酒水,西洋酒,
西班牙 氣泡酒CAVA,西班牙 氣泡酒CAVA-,6酒水,西洋酒,
紐西蘭 白蘇維翁 白酒,紐西蘭 白蘇維翁 白酒-,6酒水,西洋酒,
智利 夏多內 白酒,智利 夏多內 白酒-,6酒水,西洋酒,
特選 莎當妮 （白酒）,特選 莎當妮 （白酒）-,6酒水,西洋酒,
波爾多 梅洛 紅酒,波爾多 梅洛 紅酒-,6酒水,西洋酒,
白酒(單杯),白酒(單杯)-,6酒水,西洋酒,
聖沛黎洛氣泡水,聖沛黎洛氣泡水-,6酒水,非酒精飲料,
紅酒(單杯),紅酒(單杯)-,6酒水,西洋酒,
麥卡倫12年單一麥芽威士忌,麥卡倫12年單一麥芽威士忌-,6酒水,西洋酒,
光榮菊 幾望 天然乳酸菌仕入 無濾過生原酒,光榮菊 幾望 天然乳酸菌仕入 無濾過生原酒,6酒水,東洋酒,
備註,備註,9其他,備註事項,
到達時間,到達時間,9其他,備註事項,
宵夜場（8：30後入場）,宵夜場（8：30後入場）,9其他,備註事項,
WAKAZE 白蘭地桶 Sake,WAKAZE 白蘭地桶 Sake,6酒水,西洋酒,
獨活蛤蜊湯,獨活蛤蜊湯,2黑板料理,季節食材/黑板菜單,
長翼鰆（裸鰆）,長翼鰆（裸鰆）,2黑板料理,單點刺身/壽司/黑板料理,
節瓜半份（兌換）,節瓜半份（兌換）,9其他,折扣區,
白肉梭（姬鯛）,白肉梭（姬鯛）,2黑板料理,魚類,
小章魚,小章魚,2黑板料理,季節食材/黑板菜單,
花枝,花枝,2黑板料理,單點刺身/壽司/黑板料理,
花枝頭,花枝頭,2黑板料理,季節食材/黑板菜單,
主廚隱藏版握壽司（兌換）,主廚隱藏版握壽司（兌換）,9其他,折扣區,
黃姑魚（春子）,黃姑魚（春子）,2黑板料理,魚類,
季節時蔬（兌換）,季節時蔬（兌換）-,9其他,折扣區,
深夜限定餐點（兌換）,深夜限定餐點（兌換）-,9其他,折扣區,
金門蟹,金門蟹-,2黑板料理,蝦蟹類,
酒蒸小卷,酒蒸小卷-,2黑板料理,季節食材/黑板菜單,
威士忌/單杯,威士忌/單杯-,6酒水,西洋酒,
焙茶巴斯克蛋糕,焙茶巴斯克蛋糕-,4配菜,甜點,
Kiss（鱚）魚,Kiss（鱚）魚-,2黑板料理,魚類,
松川鰈/生,松川鰈/生-,2黑板料理,單點刺身/壽司/黑板料理,
屠夫肉（牛橫膈膜）,屠夫肉（牛橫膈膜）-,2黑板料理,季節食材/黑板菜單,
義大利 曼時 油王 特級初榨橄欖油/瓶(750ml),義大利 曼時 油王 特級初榨橄欖油/瓶(750ml)-,9其他,搭伙伴,
主廚特製餐點（威秀）,主廚特製餐點（威秀）-,9其他,折扣區,
虎蝦,虎蝦-,2黑板料理,蝦蟹類,
湯葉,湯葉-,2黑板料理,蝦蟹類,
主廚特製餐點（兌換）,主廚特製餐點（兌換）-,9其他,折扣區,
長崎 小長井生蠔,長崎 小長井生蠔-,2黑板料理,單點刺身/壽司/黑板料理,
角蝦,角蝦-,2黑板料理,蝦蟹類,
佐賀 生蠔,佐賀 生蠔-,2黑板料理,單點刺身/壽司/黑板料理,
高部魚,高部魚-,2黑板料理,魚類,
大山 特別純米 十水 無濾過生原酒,大山 特別純米 十水 無濾過生原酒-,6酒水,東洋酒,
嘉美心 純米大吟釀【心】,嘉美心 純米大吟釀【心】-,6酒水,東洋酒,
若戎義左衛門 貴釀酒,若戎義左衛門 貴釀酒-,6酒水,東洋酒,
浦霞 純米吟釀 NO.12,浦霞 純米吟釀 NO.12-,6酒水,東洋酒,
春鹿 櫻 純米生原酒,春鹿 櫻 純米生原酒-,6酒水,東洋酒,
A5菲力和牛,A5菲力和牛-,2黑板料理,季節食材/黑板菜單,
目光魚,目光魚-,2黑板料理,魚類,
海藻,海藻-,2黑板料理,季節食材/黑板菜單,
活小卷,活小卷-,2黑板料理,單點刺身/壽司/黑板料理,
白蝦,白蝦-,2黑板料理,單點刺身/壽司/黑板料理,
鳥貝,鳥貝-,2黑板料理,單點刺身/壽司/黑板料理,
起司味噌漬半份（兌換）,起司味噌漬半份（兌換）-,9其他,折扣區,
酒類9折,酒類9折-,9其他,折扣區,
麝香白和,麝香白和-,4配菜,前菜/酒餚（菜單）,
魷魚絲天婦羅（兌換）,魷魚絲天婦羅（兌換）-,9其他,折扣區,
酒類7折,酒類7折-,9其他,折扣區,
中卷煙燻甜椒醬,中卷煙燻甜椒醬-,2黑板料理,季節食材/黑板菜單,
小黃瓜金山寺味噌,小黃瓜金山寺味噌-,2黑板料理,前菜沙拉/黑板料理,
成人快樂水1杯（兌換）,成人快樂水1杯（兌換）-,9其他,折扣區,
赤煮牛肉,赤煮牛肉-,2黑板料理,季節食材/黑板菜單,
白鰻,白鰻-,2黑板料理,烤物/黑板料理,
青雞魚,青雞魚-,2黑板料理,單點刺身/壽司/黑板料理,
牛角貝,牛角貝-,2黑板料理,魚類,
炸吸盤,炸吸盤-,2黑板料理,季節食材/黑板菜單,
韓國Cass啤酒,韓國Cass啤酒-,6酒水,啤酒,
牡蠣,牡蠣-,2黑板料理,季節食材/黑板菜單,
梅柚醉,梅柚醉-,6酒水,東洋酒,
青武鯛（鸚哥魚）,青武鯛（鸚哥魚）-,2黑板料理,魚類,
可樂1杯（兌換）,可樂1杯（兌換）-,9其他,活動贈品,
東京三倍體 生蠔,東京三倍體 生蠔-,2黑板料理,單點刺身/壽司/黑板料理,
燕魚,燕魚-,2黑板料理,單點刺身/壽司/黑板料理,
白鯧,白鯧-,2黑板料理,單點刺身/壽司/黑板料理,
XO 夜貓飯,XO 夜貓飯-,5主食,食事（菜單）,
匠‧選六貫握壽司,匠‧選六貫握壽司-,1壽司刺身,手卷/壽司（菜單）,
七夜鹹香肉,七夜鹹香肉-,3烤炸串,烤物/串燒（菜單）,
夜見‧味噌雞丼,夜見‧味噌雞丼-,5主食,食事（菜單）,
刺身盛合九切,刺身盛合九切-,1壽司刺身,刺身/蓋飯（菜單）,
布拉塔沙拉,布拉塔沙拉-,4配菜,前菜/酒餚（菜單）,
旬·極選十五切,旬·極選十五切-,1壽司刺身,刺身/蓋飯（菜單）,
海膽手捲（闕哥招待）,海膽手捲（闕哥招待）-,9其他,活動贈品,
牛舌凍,牛舌凍-,2黑板料理,前菜沙拉/黑板料理,
稻荷．三重奏,稻荷．三重奏-,1壽司刺身,手卷/壽司（菜單）,
紫蘇雞腿燒,紫蘇雞腿燒-,3烤炸串,烤物/串燒（菜單）,
胡麻豆腐．二十三 /粒,胡麻豆腐．二十三 /粒-,3烤炸串,揚物（菜單）,
酒香起司燒,酒香起司燒-,4配菜,前菜/酒餚（菜單）,
阿根廷 特濃情,阿根廷 特濃情-,6酒水,西洋酒,
雪濃．牛尾湯,雪濃．牛尾湯-,5主食,食事（菜單）,
松茸,松茸-,2黑板料理,季節食材/黑板菜單,
安藝虎 素 純米吟釀 發泡生酒,安藝虎 素 純米吟釀 發泡生酒-,6酒水,東洋酒,
田光 純米酒,田光 純米酒-,6酒水,東洋酒,
鳳凰美田 2025 Annivesary,鳳凰美田 2025 Annivesary-,6酒水,東洋酒,
文佳人 Liseur 純米吟釀,文佳人 Liseur 純米吟釀-,6酒水,東洋酒,
神秘特調（兌換）,神秘特調（兌換）-,9其他,活動贈品,
鴨肝,鴨肝-,2黑板料理,季節食材/黑板菜單,
日日 山田錦 生酛仕込,日日 山田錦 生酛仕込-,6酒水,東洋酒,
赤翅,赤翅-,2黑板料理,魚類,
天使貝（玉米貝）,天使貝（玉米貝）-,2黑板料理,季節食材/黑板菜單,
秋姑/生,秋姑/生-,2黑板料理,單點刺身/壽司/黑板料理,
銀鮫,銀鮫-,2黑板料理,魚類,
串燒2重湊,串燒2重湊-,2黑板料理,烤物/黑板料理,
八海山 純米大吟釀,八海山 純米大吟釀-,6酒水,東洋酒,
盲盒天婦羅,盲盒天婦羅-,2黑板料理,揚物/黑板料理,
魚頭味噌,魚頭味噌-,2黑板料理,季節食材/黑板菜單,
八海山 特別本釀造,八海山 特別本釀造-,6酒水,東洋酒,
山藥細麵,山藥細麵-,2黑板料理,前菜沙拉/黑板料理,
赤筆（笛鯛）,赤筆（笛鯛）-,2黑板料理,魚類,
八海山 特別純米,八海山 特別純米-,6酒水,東洋酒,
朗登堡 超級波爾多 紅酒,朗登堡 超級波爾多 紅酒-,6酒水,西洋酒,
隱藏版海鱻丼,隱藏版海鱻丼-,2黑板料理,單點刺身/壽司/黑板料理,
*中捲煙燻甜椒醬,*中捲煙燻甜椒醬-,8外帶送,uber eat,
*炒日式讚岐烏龍,*炒日式讚岐烏龍-,8外帶送,uber eat,
*赤煮牛肉,*赤煮牛肉-,8外帶送,uber eat,
海鮮寄世鍋,海鮮寄世鍋-,4配菜,吸物/鍋物（菜單）,
鱚魚（沙梭）,鱚魚（沙梭）-,2黑板料理,魚類,
*夜見．味噌雞丼,*夜見．味噌雞丼-,8外帶送,uber eat,
*胡麻豆腐．二十三,*胡麻豆腐．二十三-,8外帶送,uber eat,
加購和牛肉片,加購和牛肉片-,4配菜,吸物/鍋物（菜單）,
笛鯛,笛鯛-,2黑板料理,魚類,
*旬．極選十五切,*旬．極選十五切-,8外帶送,uber eat,
*蛤蠣精力湯,*蛤蠣精力湯-,8外帶送,uber eat,
河豚,河豚-,2黑板料理,季節食材/黑板菜單,
蔬菜拼盤雜炊,蔬菜拼盤雜炊-,4配菜,吸物/鍋物（菜單）,
日本和牛鍋,日本和牛鍋-,4配菜,吸物/鍋物（菜單）,
蜜柑鮭魚果醋,蜜柑鮭魚果醋-,2黑板料理,前菜沙拉/黑板料理,
*X.O.夜貓飯,*X.O.夜貓飯-,8外帶送,uber eat,
*酒香起司燒,*酒香起司燒-,8外帶送,uber eat,
特製散壽司（5：30～7點限定）,特製散壽司（5：30～7點限定）-,2黑板料理,單點刺身/壽司/黑板料理,
*七夜．鹹香肉,*七夜．鹹香肉-,8外帶送,uber eat,
FB、IG抽獎文兌換握壽司,FB、IG抽獎文兌換握壽司-,9其他,活動贈品,
皇家禮炮 21年,皇家禮炮 21年-,6酒水,西洋酒,
*刺身盛和9切,*刺身盛和9切-,8外帶送,uber eat,
XR 21年,XR 21年-,6酒水,西洋酒,
香師父原萃滴雞精,香師父原萃滴雞精-,9其他,年菜,
*魷魚絲天婦羅,*魷魚絲天婦羅-,8外帶送,uber eat,
大山 特別純米 十水,大山 特別純米 十水-,6酒水,東洋酒,
覆盆子冰淇淋,覆盆子冰淇淋-,4配菜,甜點,
一之藏 鈴音和雅 清酒,一之藏 鈴音和雅 清酒-,6酒水,東洋酒,
法螺,法螺-,2黑板料理,單點刺身/壽司/黑板料理,
嘉美心 冬之月 純米吟釀 生酒,嘉美心 冬之月 純米吟釀 生酒-,6酒水,東洋酒,
澤乃井 純米吟釀 生酒,澤乃井 純米吟釀 生酒-,6酒水,東洋酒,
*紫蘇雞腿燒,*紫蘇雞腿燒-,8外帶送,uber eat,2026-01-26
*山藥明太燒,*山藥明太燒-,8外帶送,uber eat,2026-01-26
